,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-23a-3p,3.0071409042899,12.229757222298,9.49372670277194,5.74505699058011e-14,1.60861595736243e-11,21.4881846784323,7.51376523732586,10.79354762743997,P.adj < 0.05 & log2FC > 1
hsa-miR-424-5p,4.01480180565788,9.84414560677064,8.34777529184217,9.25063216053101e-12,1.29508850247434e-09,14.5768508776435,6.81770504333587,8.887700552182803,P.adj < 0.05 & log2FC > 1
hsa-miR-27a-3p,3.2834832551588,8.66109601760133,7.74860756640635,7.401762733133849e-11,6.908311884258261e-09,14.5313074044188,6.51228192800623,8.16062806390209,P.adj < 0.05 & log2FC > 1
hsa-miR-223-3p,3.60938502789337,10.8427010078491,7.03179754160417,1.8416689675344102e-09,1.28916827727408e-07,9.83677194182803,6.01118956742325,6.889690389767152,P.adj < 0.05 & log2FC > 1
hsa-miR-142-3p,3.19590583650582,11.4118168269134,6.84308024636262,3.05907315012934e-09,1.71308096407243e-07,10.9190232238722,5.92839639978524,6.766222110812101,P.adj < 0.05 & log2FC > 1
hsa-miR-34a-5p,2.69092360390889,11.6043414272657,6.72108502034804,5.929606779301111e-09,2.76714983034052e-07,10.2703906287661,5.81873100990825,6.557967324874797,P.adj < 0.05 & log2FC > 1
hsa-miR-9-3p,-3.19861720261713,11.5837629121608,-6.29533300595072,2.82578853942018e-08,1.06380481763146e-06,8.77977572213092,-5.55190147533012,5.973138047230308,P.adj < 0.05 & log2FC < -1
hsa-miR-142-5p,3.2884454377191,9.87755981482673,6.27723161008953,3.03944233608987e-08,1.06380481763146e-06,8.71774175909993,5.53914942318581,5.973138047230308,P.adj < 0.05 & log2FC > 1
hsa-miR-660-5p,2.637088042537,7.54129006616581,6.17895436713945,5.21415016870442e-08,1.55412633993314e-06,8.10880357829889,5.44384873792376,5.808513678903497,P.adj < 0.05 & log2FC > 1
hsa-miR-342-3p,2.08858041205161,12.2803556843154,6.2098113893294,5.55045121404694e-08,1.55412633993314e-06,7.43680427143236,5.43271019529426,5.808513678903497,P.adj < 0.05 & log2FC > 1
hsa-miR-9-5p,-2.89736300389299,12.4444437371127,-5.98152834823678,9.93116236661866e-08,2.52793223877566e-06,7.57801092790475,-5.32797896222675,5.597234571497338,P.adj < 0.05 & log2FC < -1
hsa-miR-125b-5p,-1.82753028250618,14.6259891469524,-5.94322669429082,1.15656276303904e-07,2.69864644709108e-06,7.42113490877317,-5.30023096498192,5.568854009157857,P.adj < 0.05 & log2FC < -1
hsa-miR-191-5p,1.3326538270973,13.5811026289269,5.54589818343522,6.18143920132517e-07,1.33138690490081e-05,5.82530927700907,4.98546054835613,4.875695718946077,P.adj < 0.05 & log2FC > 1
hsa-miR-219a-5p,-3.36256594420827,13.8467818831692,-5.4545318829675,1.49950694460699e-06,2.99901388921398e-05,4.40640144390864,-4.81130139247903,4.523021522905021,P.adj < 0.05 & log2FC < -1
hsa-miR-100-5p,-2.61994531143717,9.6798476187275,-5.32119002975284,1.67489383936511e-06,3.1264685001482e-05,4.33433467572152,-4.78914984115571,4.504945942572864,P.adj < 0.05 & log2FC < -1
hsa-miR-146a-5p,3.02664283230246,9.00349493617169,5.23977582565105,2.18121753336982e-06,3.81713068339718e-05,4.36205414984377,4.73586592955562,4.418262971277852,P.adj < 0.05 & log2FC > 1
hsa-miR-338-3p,-2.38056052606087,12.2204514478885,-5.32129993918096,2.38946179130641e-06,3.93558412685762e-05,3.88696526678083,-4.71734170655738,4.404990799710506,P.adj < 0.05 & log2FC < -1
