,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-7-5p,3.45540559258002,11.2810668331098,8.36094756061441,4.35039324232363e-11,1.21811010785062e-08,12.7820978313537,6.59162465558865,7.914313453024468,P.adj < 0.05 & log2FC > 1
hsa-miR-142-3p,-4.00542405766659,11.4118168269134,-7.09329394907792,1.09819993614566e-09,1.53747991060392e-07,11.9276896280078,-6.09444177596759,6.813190550200261,P.adj < 0.05 & log2FC < -1
hsa-miR-150-5p,-4.27618715916129,8.4736598478236,-6.82865408131037,3.2447495497297e-09,2.42720329781171e-07,10.8626006391482,-5.91871079013601,6.614893846486294,P.adj < 0.05 & log2FC < -1
hsa-miR-223-3p,-4.05452524817768,10.8427010078491,-7.00486847968761,3.4674332825881605e-09,2.42720329781171e-07,9.72491724600526,-5.90778253050836,6.614893846486294,P.adj < 0.05 & log2FC < -1
hsa-miR-137-3p,3.02652566924159,10.2448465637431,6.72556437183908,7.1950141172912e-09,3.83191739960461e-07,9.31891977983348,5.78630822688921,6.416583861097291,P.adj < 0.05 & log2FC > 1
hsa-miR-574-3p,-3.38481235322937,10.6928060461465,-6.59667377355274,8.34875166105691e-09,3.83191739960461e-07,9.95812441436626,-5.7612616144105,6.416583861097291,P.adj < 0.05 & log2FC < -1
hsa-miR-92b-3p,-3.53077201776258,9.77082556029158,-6.77947495003984,9.579793499011532e-09,3.83191739960461e-07,9.38192373122181,-5.73800562521592,6.416583861097291,P.adj < 0.05 & log2FC < -1
hsa-miR-142-5p,-3.87887164028551,9.87755981482673,-6.51187182733663,1.17785756157926e-08,4.1225014655274e-07,9.65443464027268,-5.70290048193293,6.384839181294032,P.adj < 0.05 & log2FC < -1
hsa-miR-935,3.14838161296022,8.61070032548769,6.43614248051955,1.7081713882081e-08,5.31431098553633e-07,9.05202808207499,5.63922507729176,6.274553034918107,P.adj < 0.05 & log2FC > 1
hsa-miR-299-5p,2.41081691627743,7.82060639366093,6.35510605022876,3.20262341192551e-08,8.96734555339143e-07,8.26265663969201,5.52998271601701,6.0473360945390855,P.adj < 0.05 & log2FC > 1
