,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-23a-3p,-4.99225583919123,12.229757222298,-20.9185031101248,7.47003165187899e-31,2.09160886252612e-28,59.611425447215,-11.5489816166622,27.679519526653994,P.adj < 0.05 & log2FC < -1
hsa-miR-142-3p,-7.20132989417241,11.4118168269134,-18.1577745963199,2.19446225344442e-27,2.9193497525377e-25,51.6769720629149,-10.841252340256,24.534713871268284,P.adj < 0.05 & log2FC < -1
hsa-miR-142-5p,-7.16731707800461,9.87755981482673,-18.0414762174177,3.12787473486183e-27,2.9193497525377e-25,51.4068311470871,-10.8087843553627,24.534713871268284,P.adj < 0.05 & log2FC < -1
hsa-miR-424-5p,-7.0550726705182,9.84414560677064,-21.1424022843259,3.7771181639082204e-25,2.64398271473575e-23,47.7756311313514,-10.3598099393841,22.57774138841462,P.adj < 0.05 & log2FC < -1
hsa-miR-27a-3p,-4.89290193017545,8.66109601760133,-16.123262743593,1.3567315506961e-24,7.59769668389818e-23,45.604334989901,-10.236782682187,22.119318048388394,P.adj < 0.05 & log2FC < -1
hsa-miR-223-3p,-7.66391027607105,10.8427010078491,-20.8099257258528,3.49014106956688e-24,1.6287324991312099e-22,44.4050318637272,-10.1449340424989,21.788150237785317,P.adj < 0.05 & log2FC < -1
hsa-miR-28-5p,-3.37857306074565,10.3429283893232,-13.1746662066268,3.71758351176171e-20,1.48703340470468e-18,35.5362567196093,-9.19593181830523,17.827679275381232,P.adj < 0.05 & log2FC < -1
hsa-miR-660-5p,-4.57034114808684,7.54129006616581,-14.805292421284,5.088926007510841e-19,1.7811241026287902e-17,39.7703867353869,-8.91031176490213,16.749305819330047,P.adj < 0.05 & log2FC < -1
hsa-miR-25-3p,-3.44564039478871,10.3914588973534,-11.6418613151393,1.1645179494497401e-17,3.62294473162141e-16,29.8496958997102,-8.55639501057156,15.44093829112001,P.adj < 0.05 & log2FC < -1
hsa-miR-129-2-3p,4.45283588352719,8.89742028812306,11.3850233170128,3.13689428156992e-17,8.78330398839578e-16,28.8802147451166,8.44135144119369,15.056342086142529,P.adj < 0.05 & log2FC > 1
