"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"hsa-miR-181b-5p",2.35427217598652,10.8651620494505,7.9707271395938,1.21886919571873e-11,3.43721113192682e-09,13.3668881905492,6.77795722803917
"hsa-miR-100-5p",2.43113436660669,10.0062240813413,6.89311821643963,1.2225624104831e-09,1.72381299878117e-07,10.5059951145451,6.07725634536126
"hsa-miR-151a-5p",1.87610968701777,11.1923461256005,6.57103888095396,6.1593693207165e-09,5.78980716147351e-07,8.77689615674654,5.81237222768858
"hsa-miR-338-3p",2.36633570825882,12.5551226612026,6.59317334416339,9.28992232955936e-09,6.54939524233935e-07,8.11511412688811,5.74320849716265
"hsa-miR-181a-5p",1.54429667730489,13.2466179441313,6.11098210214554,3.6613748603924e-08,2.06501542126131e-06,7.46999935948183,5.50645211908576
"hsa-miR-219a-2-3p",2.78580309117512,9.72590884016747,6.06307003168076,6.03261655445247e-08,2.83532978059266e-06,6.64395844751191,5.41783168609228
"hsa-miR-23b-3p",1.35367537485178,12.4359809550998,5.91568342876048,8.95549251434887e-08,3.50943681417897e-06,6.51768419049156,5.34673511958263
"hsa-miR-151b",1.90166890755332,9.64725286038398,5.94931915093716,9.95584911823822e-08,3.50943681417897e-06,6.21741177214073,5.32752789757172
"hsa-miR-219a-5p",2.8834373314713,14.2574627893422,5.82936647602887,1.64479093172559e-07,5.15367825274019e-06,5.91703707970395,5.23556705729607
"hsa-miR-574-3p",1.94424420577579,10.9989569174267,5.31674665758824,9.50458851171929e-07,2.68029396030484e-05,5.2285046617889,4.90162759491846
"hsa-miR-625-5p",1.79336784846805,7.22151102747299,5.29858767415907,1.19207572845292e-06,3.05604868567022e-05,4.25265848157277,4.85695017809378
"hsa-miR-33b-5p",2.43423990942596,8.54353603618117,5.21012250986455,1.47246066242827e-06,3.46028255670643e-05,4.4746476061568,4.81493736718647
"hsa-miR-330-3p",1.5251544877155,10.7570062476635,5.09809455891456,2.28437171275088e-06,4.9553294076596e-05,4.38288214991084,4.72648721182477
"hsa-miR-151a-3p",1.70808361813303,9.36461014754705,5.04073302758409,2.9660848999879e-06,5.9745424414042e-05,3.64195825152922,4.67315448599461
"hsa-miR-338-5p",1.9690918855249,8.31039071835455,4.72503265081835,1.04532466152813e-05,0.000196521036367288,2.44467853907925,4.40757902597148
"hsa-miR-92a-3p",1.26943291789629,10.6008913052747,4.17535058092854,7.58186228247628e-05,0.00133630322728644,0.930279486972476,3.95724668152107
"hsa-miR-27b-3p",1.30993758966818,9.49758008361222,4.07740760720642,0.000107641351686605,0.00169498008386249,0.632589994717705,3.87268853225176
"hsa-let-7b-3p",1.49758732370007,7.76142656777318,4.07799510629229,0.000108190218118882,0.00169498008386249,0.555758811940196,3.87144917410731
"hsa-miR-125b-5p",0.870585636756623,14.6961474568329,3.95708162952343,0.000164340369042905,0.00243915705632101,0.326964876176684,3.76833452812901
"hsa-miR-625-3p",1.5036274681151,7.21438824938967,3.8108336924801,0.000274392490169956,0.00380125016520632,-0.266512245017497,3.63834800541281
"hsa-miR-146b-5p",-1.53855437933129,9.58168018563003,-3.80375074326891,0.000283071820813237,0.00380125016520632,-0.108215056703143,-3.63031839039046
"hsa-let-7b-5p",0.874458944954043,14.5869197719038,3.71261734282527,0.000379852128826983,0.0048690136513277,-0.472727872361064,3.55370008378328
"hsa-miR-577",1.66706220069229,7.50518598809269,3.56521686966943,0.000638252035640723,0.00782552495872539,-1.04056111799572,3.4148156060433
"hsa-miR-340-5p",0.99663960903859,9.8142861106072,3.54220086062373,0.000668617975094083,0.00785626120735547,-1.00339119624364,3.4021341969101
"hsa-miR-126-5p",-1.20125426551159,9.82673022505924,-3.18063210196128,0.00209835042560297,0.0236693928008015,-2.00317124469516,-3.07594713887557
"hsa-miR-20a-5p",0.966586518463808,9.09227413614325,2.96403624415301,0.00400907095233375,0.0434830003291583,-2.65521075528713,2.87744712146008
"hsa-miR-34a-5p",-0.977033510627598,11.4264343202091,-2.94234203307565,0.00428379384348225,0.0447418468097035,-2.63232540906122,-2.8564708156336
"hsa-miR-31-5p",-1.40345556692083,7.8986864663471,-2.88614805832055,0.00505942768261631,0.0509556645177786,-2.77986806412464,-2.80322552413914
"hsa-miR-1260b",1.09161677986486,9.17433419621485,2.86364974217751,0.00541379645601259,0.052644503468812,-2.8617299000491,2.78132227296952
"hsa-let-7d-3p",0.711633407548147,9.37192961241727,2.83038992458202,0.00588936564874302,0.0553600370981844,-3.00599895923105,2.75387833758161
"hsa-miR-99b-5p",0.687710275625008,11.35914048894,2.81639743197339,0.00612722374629101,0.0557379708533569,-3.04106886012967,2.74089417993769
"hsa-miR-140-3p",0.6318129650484,10.8098121593521,2.77786828512404,0.00684111632371456,0.0602873376027346,-3.08309295240316,2.70448109062866
"hsa-miR-17-5p",0.786472284990788,10.0744196018839,2.75712595688536,0.00723569825273489,0.0618323305233709,-3.18464819556439,2.68579724404792
"hsa-miR-19b-3p",0.717138810791067,12.9541384736386,2.70557019346159,0.00834635556452811,0.0683977911607345,-3.29314757587843,2.63772776374925
"hsa-miR-497-5p",1.03423644062716,8.964266638505,2.69948414270909,0.00848990196776898,0.0683977911607345,-3.32654082680453,2.6319393398079
"hsa-miR-221-3p",-0.922704856683342,11.1423586973985,-2.6914398793592,0.00873163291413632,0.0683977911607345,-3.22128238963898,-2.62238656623
"hsa-miR-181a-3p",1.11370463443258,7.34875997249259,2.63620263982909,0.0101062448790851,0.0765917390191767,-3.48773514819684,2.57217275312277
"hsa-miR-29a-5p",-0.992037214625645,7.58157823855515,-2.6276331013492,0.0103208726337898,0.0765917390191767,-3.47699027289926,-2.56488930293638
"hsa-miR-1268a",-1.78199753402619,7.65767826377198,-2.60793565402808,0.0109403311680424,0.0791070099843068,-3.49480232287292,-2.54459894478146
"hsa-miR-32-5p",0.988571663829036,9.12065878758917,2.54399084398298,0.0129153029565471,0.0896358832032011,-3.66947238218543,2.48609624940041
"hsa-miR-31-3p",-1.13402959614125,7.01247035631897,-2.54024457823061,0.0130321674160682,0.0896358832032011,-3.67688264190622,-2.48288904226256
"hsa-miR-532-5p",-1.01736300217965,7.48418403567494,-2.52222996037769,0.0137147089926517,0.0920844746649468,-3.71105856659482,-2.46465014438954
"hsa-miR-203a-3p",-1.19684676438893,7.82314314754131,-2.4994102354764,0.0146231606076635,0.095900727706072,-3.73806879410635,-2.44157968866817
"hsa-miR-6803-5p",-1.43908917026767,6.66051516299985,-2.39554760357618,0.0190846290934104,0.121948189101935,-3.986847068819,-2.34387377273713
"hsa-miR-25-3p",0.764424893346337,10.4885127617754,2.38517403671401,0.0194598174098832,0.121948189101935,-4.05946039916392,2.33660336358781
"hsa-miR-378a-3p",-1.13159330108689,7.45873711240055,-2.36815583749521,0.0204935246434838,0.125634216292662,-3.99288449435942,-2.31718741751365
"hsa-miR-222-3p",-0.867456068039466,10.7414543071913,-2.28610995924323,0.0250323095936092,0.149390928921952,-4.11321049462826,-2.24090376086262
"hsa-miR-26b-5p",0.883401395559581,9.17878110126403,2.27859769013807,0.0254282432207579,0.149390928921952,-4.21643176730248,2.23483408521394
"hsa-miR-19a-3p",0.720824902138542,11.0670685624462,2.2553523588509,0.0268778222137868,0.153671561124092,-4.28449234926529,2.21328762539679
"hsa-miR-24-3p",0.493007443661739,13.0650777573428,2.24475711977309,0.0275846818907015,0.153671561124092,-4.31281251089925,2.20314284944252
"hsa-miR-301a-3p",0.5057162437123,11.0333148224015,2.24313768081442,0.0277916653096762,0.153671561124092,-4.24884244845257,2.20021470739232
"hsa-miR-887-3p",0.927169828935535,7.36193991376491,2.22029531640784,0.0292559928279912,0.156629517677532,-4.45258269309296,2.18001981436022
"hsa-miR-142-5p",-1.14234472081919,9.58761787262046,-2.21773287577897,0.0294374625422311,0.156629517677532,-4.25582371583795,-2.17757808546755
"hsa-miR-103a-2-5p",-0.865750814431286,6.86787972228004,-2.20165450192702,0.0305987942108597,0.159793703101156,-4.45778793790799,-2.16225152165517
"hsa-miR-346",0.773257366529547,6.84184879955431,2.1796182627894,0.0324319318028722,0.166287359425635,-4.41265663334921,2.13904613948984
"hsa-miR-10401-5p",-1.29036651327171,6.66027836767809,-2.0068077213008,0.0481812905624251,0.239169319492586,-4.84176204129994,-1.97576595887036
"hsa-miR-33a-5p",0.73837675354369,10.0123780977888,1.99910850219034,0.049071525243094,0.239169319492586,-4.7939059721447,1.96796969029172
"hsa-miR-342-5p",-0.839735592224892,8.16664467035164,-2.00054606954438,0.0491908529452836,0.239169319492586,-4.72122871340986,-1.96693371576501
"hsa-miR-769-3p",-0.675655966430102,6.87599057754245,-1.97548000024182,0.0519322696612771,0.245237079711631,-4.76843963500205,-1.94369477024632
"hsa-miR-874-3p",0.720532640011188,9.17924078718356,1.96737152599543,0.0526404449472551,0.245237079711631,-4.92702032460777,1.93785885500023
"hsa-miR-374b-5p",0.536225562894828,11.0390485754509,1.96391323462388,0.053047737100743,0.245237079711631,-4.9302057395803,1.9345321176915
"hsa-miR-148b-3p",0.642512010404879,8.78000686259316,1.94425484623425,0.0554142673596918,0.252045538636018,-4.97064800133085,1.91561383410906
"hsa-let-7a-3p",0.672499978259344,7.85512547730284,1.91960928762478,0.0585072704562065,0.261889686803972,-5.03404015554805,1.89187775371856
"hsa-miR-195-5p",0.721327478628389,8.83216806838292,1.90608540748865,0.0603007122972962,0.265700013559961,-5.00093158325528,1.87858842910028
"hsa-miR-376a-5p",-0.770385442864254,7.56693159224709,-1.89409729125861,0.0618616761887572,0.268003865226336,-5.04767211336978,-1.86728587976076
"hsa-miR-326",-0.804252708137534,6.79468946599252,-1.88228676611911,0.0635845733641918,0.268003865226336,-5.03689486301281,-1.85508161079006
"hsa-miR-29c-5p",-0.712970914548508,9.1074904461683,-1.8650453537551,0.0658775972006527,0.268003865226336,-5.05261468513064,-1.83925562074647
