"","HU10_IBA1","HU11_IBA1","HU12_IBA1","HU13_IBA1","HU14_IBA1","HU15_IBA1","HU16_IBA1","HU17_IBA1","HU19_IBA1","HU20_IBA1","HU22_IBA1","HU23_IBA1","HU25_IBA1","HU26_IBA1","HU27_IBA1","HU8_IBA1","HU10_NEUN","HU11_NEUN","HU12_NEUN","HU13_NEUN","HU14_NEUN","HU15_NEUN","HU16_NEUN","HU17_NEUN","HU19_NEUN","HU20_NEUN","HU22_NEUN","HU23_NEUN","HU25_NEUN","HU26_NEUN","HU27_NEUN","HU8_NEUN","HU29_IBA1","HU31_IBA1","HU34_GFAP","HU39_IBA1","HU39_NEUN","HU43_GFAP","HU44_GFAP","HU44_IBA1","HU46_IBA1","HU47_GFAP","HU47_NEUN","HU50_GFAP","HU51_GFAP","HU52_GFAP","HU54_GFAP","HU54_IBA1","HU54_NEUN","HU56_GFAP","HU57_OLIG2","HU58_GFAP","HU60_GFAP","HU61_OLIG2","HU62_GFAP","HU64_GFAP","HU64_NEUN","HU64_OLIG2","HU66_OLIG2","HU67_GFAP","HU67_NEUN","HU67_OLIG2","HU68_OLIG2","HU69_GFAP","HU70_GFAP","HU71_GFAP","HU71_IBA1","HU71_NEUN","HU71_OLIG2","HU73_NEUN","HU73_OLIG2","HU74_OLIG2","HU75_GFAP","HU75_IBA1","HU75_NEUN","HU75_OLIG2","HU76_OLIG2","HU77_OLIG2","HU78_OLIG2","HU79_OLIG2"
"hsa-miR-548o-5p",0,76.5351064896075,106.597089042032,72.810653173085,189.245887788085,0,13.2508614618693,71.808961397542,106.757754003504,198.344550484884,33.9871015785729,0,42.5335874097492,86.5380396688458,14.7591990697239,0,25.2492603644052,0,0,50.5995638991375,0,0,46.6715921161074,0,0,11.8742374492494,187.018333783184,0,122.005739563268,152.814823861926,0,149.735114406125,0,0,978.644738726119,46.4918148888456,0,977.551725348967,550.049885068693,0,5066.36967710309,0,0,251.883566824925,454.45086927853,29.2515791984963,0,80.4741568986244,0,0,115.436189536582,1818.30677615968,0,229.289791111913,0,1362.0747081312,70.0128852911971,94.4092570209217,0,319.501459057988,230.219008402064,0,0,0,0,0,51.7702020547417,168.499907520801,0,128.565408673997,260.87021806238,0,0,282.924365627834,0,68.5689904899032,0,0,48.1197380124969,440.086216474861
"hsa-miR-548c-5p",0,76.5351064896075,106.597089042032,72.810653173085,189.245887788085,0,13.2508614618693,71.808961397542,106.757754003504,198.344550484884,33.9871015785729,0,42.5335874097492,86.5380396688458,14.7591990697239,0,25.2492603644052,0,0,50.5995638991375,0,0,46.6715921161074,0,0,11.8742374492494,187.018333783184,0,122.005739563268,152.814823861926,0,149.735114406125,0,0,978.644738726119,46.4918148888456,0,977.551725348967,550.049885068693,0,5066.36967710309,0,0,251.883566824925,681.676303917796,29.2515791984963,0,80.4741568986244,0,0,115.436189536582,2727.46016423952,0,229.289791111913,0,1362.0747081312,70.0128852911971,94.4092570209217,0,319.501459057988,230.219008402064,0,0,0,0,0,51.7702020547417,168.499907520801,0,128.565408673997,260.87021806238,0,0,282.924365627834,0,68.5689904899032,0,0,48.1197380124969,440.086216474861
"hsa-miR-3135b",0,0,0,0,0,0,0,23.9363204658473,320.273262010512,39.6689100969768,0,459.563249417447,0,69.2304317350766,147.591990697239,124.636121263646,25.2492603644052,0,0,0,0,175.084003746723,46.6715921161074,6.76954764336075,0,0,93.5091668915922,0,366.017218689804,0,0,149.735114406125,0,0,326.214912908706,0,0,325.850575116322,550.049885068693,0,3039.82180626185,880.097146500774,0,125.941783412463,0,0,0,120.711235347937,19.7882460958161,0,0,3636.61355231936,0,229.289791111913,552.780453062251,1816.0996108416,70.0128852911971,47.2046285104609,0,159.750729528994,0,0,30.1513409393291,82.2746066837692,255.281578412623,224.098472304533,0,336.999815041602,2019.90664128643,257.130817347993,347.826957416506,322.822848467657,1024.36515889119,565.848731255668,487.367312974127,0,0,0,24.0598690062484,733.477027458102
"hsa-miR-548aj-5p",0,382.675532448038,0,218.431959519255,0,0,0,0,0,119.00673029093,33.9871015785729,229.781624708724,0,51.9228238013075,0,623.180606318231,25.2492603644052,0,0,0,0,175.084003746723,0,0,0,47.4969497969975,0,105.308496215773,244.011479126536,30.5629647723852,0,149.735114406125,0,182.742879367702,0,46.4918148888456,0,162.925287558161,2750.24942534347,515.582470174064,1013.27393542062,880.097146500774,397.857482170783,251.883566824925,908.901738557061,0,0,201.185392246561,0,53.8230580296562,346.308568609745,0,0,114.644895555956,2211.12181224901,0,0,0,0,159.750729528994,0,22.8001728348967,60.3026818786582,82.2746066837692,170.187718941748,2016.8862507408,0,0,2019.90664128643,42.8551362246656,695.653914833013,0,409.746063556477,565.848731255668,162.455770991376,0,78.6963671416979,0,0,0
"hsa-miR-6803-5p",0,0,0,72.810653173085,0,0,13.2508614618693,35.904480698771,213.515508007008,0,0,229.781624708724,255.201524458495,138.460863470153,73.7959953486194,124.636121263646,50.4985207288105,0,0,0,0,700.336014986894,93.3431842322148,0,61.6929325955352,0,0,0,244.011479126536,61.1259295447704,0,0,0,548.228638103107,652.429825817412,46.4918148888456,0,651.701150232645,2200.19954027477,0,2026.54787084124,586.731431000516,994.643705426956,377.825350237388,227.225434639265,29.2515791984963,0,40.2370784493122,0,53.8230580296562,0,3636.61355231936,480.15006576432,114.644895555956,0,0,70.0128852911971,47.2046285104609,0,479.252188586982,230.219008402064,0,0,0,0,0,51.7702020547417,0,2019.90664128643,299.985953572659,173.913478708253,322.822848467657,409.746063556477,565.848731255668,487.367312974127,0,0,0,0,146.69540549162
"hsa-miR-10401-3p",205.080544128713,306.14042595843,213.194178084064,218.431959519255,94.6229438940427,39.8731405173373,79.5051687712156,47.8726409316947,640.546524021024,198.344550484884,33.9871015785729,919.126498834895,42.5335874097492,69.2304317350766,0,0,25.2492603644052,0,0,0,0,350.168007493447,0,0,185.078797786606,0,93.5091668915922,52.6542481078866,122.005739563268,0,0,299.47022881225,0,365.485758735405,1304.85965163482,0,0,0,2200.19954027477,257.791235087032,1013.27393542062,0,0,0,0,29.2515791984963,0,40.2370784493122,9.89412304790807,107.646116059312,0,909.153388079839,360.11254932324,458.579582223825,0,454.024902710399,70.0128852911971,0,0,798.753647644971,0,45.6003456697934,120.605363757316,82.2746066837692,0,0,0,505.499722562403,0,85.7102724493311,0,645.645696935313,204.873031778238,0,487.367312974127,0,0,50.329452290121,0,293.390810983241
"hsa-miR-1255a",0,229.605319468823,0,0,0,0,26.5017229237385,35.904480698771,427.031016014016,39.6689100969768,0,229.781624708724,85.0671748194984,0,0,747.816727581877,0,0,0,0,200.287853012415,350.168007493447,46.6715921161074,0,0,0,374.036667566369,0,976.045916506145,0,0,449.205343218375,0,182.742879367702,652.429825817412,0,0,0,2750.24942534347,0,2026.54787084124,293.365715500258,0,251.883566824925,227.225434639265,58.5031583969926,0,0,9.89412304790807,0,346.308568609745,2727.46016423952,120.03751644108,0,0,4540.24902710399,0,94.4092570209217,0,159.750729528994,460.438016804127,22.8001728348967,60.3026818786582,0,85.0938594708742,1120.49236152266,51.7702020547417,0,0,257.130817347993,86.9567393541266,0,0,565.848731255668,1462.10193892238,0,0,0,72.1796070187453,146.69540549162
"hsa-miR-10401-5p",0,229.605319468823,0,0,0,0,13.2508614618693,107.713442096313,213.515508007008,158.675640387907,0,229.781624708724,127.600762229248,17.3076079337692,0,0,75.7477810932157,0,0,0,467.338323695634,350.168007493447,70.0073881741611,0,185.078797786606,0,561.055001349553,105.308496215773,244.011479126536,0,0,0,0,548.228638103107,2609.71930326965,46.4918148888456,42.3097126677458,0,3300.29931041216,257.791235087032,3039.82180626185,0,397.857482170783,125.941783412463,227.225434639265,29.2515791984963,86.3038723487361,40.2370784493122,0,0,0,2727.46016423952,720.22509864648,114.644895555956,0,0,0,0,114.492334637696,159.750729528994,0,0,0,0,0,224.098472304533,0,336.999815041602,8079.62656514573,128.565408673997,0,0,614.619095334715,282.924365627834,487.367312974127,0,0,0,0,146.69540549162
"hsa-miR-7851-3p",0,229.605319468823,106.597089042032,0,0,39.8731405173373,0,0,213.515508007008,158.675640387907,33.9871015785729,1148.90812354362,42.5335874097492,34.6152158675383,103.314393488067,0,0,0,209.672891734752,0,0,525.25201124017,70.0073881741611,4.5130317622405,0,0,0,0,732.034437379609,0,0,0,0,182.742879367702,1304.85965163482,0,0,162.925287558161,1100.09977013739,515.582470174064,7092.91754794433,586.731431000516,198.928741085391,629.708917062313,681.676303917796,0,0,40.2370784493122,9.89412304790807,0,346.308568609745,4545.7669403992,240.07503288216,0,1105.5609061245,2270.12451355199,0,0,0,159.750729528994,0,0,90.4540228179873,0,0,224.098472304533,0,0,0,257.130817347993,260.87021806238,322.822848467657,819.492127112953,565.848731255668,812.278854956879,68.5689904899032,0,0,0,440.086216474861
"hsa-miR-3613-5p",76.9052040482673,535.745745427253,0,218.431959519255,94.6229438940427,0,145.759476080562,107.713442096313,106.757754003504,317.351280775814,101.961304735719,0,212.667937048746,86.5380396688458,103.314393488067,373.908363790939,0,67.4569014973999,0,0,0,175.084003746723,0,0,0,35.6227123477481,0,0,122.005739563268,91.6888943171557,0,0,0,182.742879367702,0,139.475444666537,31.7322845008094,0,0,0,0,0,0,0,0,146.257895992481,172.607744697472,40.2370784493122,29.6823691437242,161.469174088969,0,0,240.07503288216,802.514268891694,552.780453062251,0,0,94.4092570209217,0,0,0,91.2006913395869,60.3026818786582,0,85.0938594708742,0,362.391414383192,0,0,42.8551362246656,86.9567393541266,322.822848467657,0,282.924365627834,162.455770991376,34.2844952449516,39.3481835708489,0,72.1796070187453,293.390810983241
