"","HU10_IBA1","HU11_IBA1","HU12_IBA1","HU13_IBA1","HU14_IBA1","HU15_IBA1","HU16_IBA1","HU17_IBA1","HU19_IBA1","HU20_IBA1","HU22_IBA1","HU23_IBA1","HU25_IBA1","HU26_IBA1","HU27_IBA1","HU8_IBA1","HU10_NEUN","HU11_NEUN","HU12_NEUN","HU13_NEUN","HU14_NEUN","HU15_NEUN","HU16_NEUN","HU17_NEUN","HU19_NEUN","HU20_NEUN","HU22_NEUN","HU23_NEUN","HU25_NEUN","HU26_NEUN","HU27_NEUN","HU8_NEUN","HU29_IBA1","HU31_IBA1","HU34_GFAP","HU39_IBA1","HU39_NEUN","HU43_GFAP","HU44_GFAP","HU44_IBA1","HU46_IBA1","HU47_GFAP","HU47_NEUN","HU50_GFAP","HU51_GFAP","HU52_GFAP","HU54_GFAP","HU54_IBA1","HU54_NEUN","HU56_GFAP","HU57_OLIG2","HU58_GFAP","HU60_GFAP","HU61_OLIG2","HU62_GFAP","HU64_GFAP","HU64_NEUN","HU64_OLIG2","HU66_OLIG2","HU67_GFAP","HU67_NEUN","HU67_OLIG2","HU68_OLIG2","HU69_GFAP","HU70_GFAP","HU71_GFAP","HU71_IBA1","HU71_NEUN","HU71_OLIG2","HU73_NEUN","HU73_OLIG2","HU74_OLIG2","HU75_GFAP","HU75_IBA1","HU75_NEUN","HU75_OLIG2","HU76_OLIG2","HU77_OLIG2","HU78_OLIG2","HU79_OLIG2"
"hsa-miR-548o-5p",0,6.27677777934508,6.74949523717267,6.2057571519697,7.57172145963046,0,3.83297722744205,6.1860441245439,6.7516478758864,7.63912035645487,5.12875124784983,0,5.44405700600795,6.45183817144256,3.97812230940881,0,4.71420486686086,0,0,5.68928696745042,0,0,5.57505790363156,0,0,3.6864150778033,7.55472953661625,0,6.94258182441464,7.26505073911806,0,7.23587172800084,0,0,9.93611485063504,5.56960698439815,0,9.93450430218238,9.10603911779719,0,12.3070213655196,0,0,7.98232947892897,8.83115162476555,4.91893855107202,0,6.34827061279975,0,0,6.86339572182117,10.8291731190903,0,7.8473066467645,0,10.4126489209774,6.15000892033667,6.57605734445435,0,8.32418711439076,7.85311619574538,0,0,0,0,0,5.72165160244371,7.40514067600172,0,7.01753678920356,8.03270818418316,0,0,8.1493628523702,0,6.12037248091115,0,0,5.6182309607852,8.78491686806008
"hsa-miR-548c-5p",0,6.27677777934508,6.74949523717267,6.2057571519697,7.57172145963046,0,3.83297722744205,6.1860441245439,6.7516478758864,7.63912035645487,5.12875124784983,0,5.44405700600795,6.45183817144256,3.97812230940881,0,4.71420486686086,0,0,5.68928696745042,0,0,5.57505790363156,0,0,3.6864150778033,7.55472953661625,0,6.94258182441464,7.26505073911806,0,7.23587172800084,0,0,9.93611485063504,5.56960698439815,0,9.93450430218238,9.10603911779719,0,12.3070213655196,0,0,7.98232947892897,9.41505786575776,4.91893855107202,0,6.34827061279975,0,0,6.86339572182117,11.4138712650508,0,7.8473066467645,0,10.4126489209774,6.15000892033667,6.57605734445435,0,8.32418711439076,7.85311619574538,0,0,0,0,0,5.72165160244371,7.40514067600172,0,7.01753678920356,8.03270818418316,0,0,8.1493628523702,0,6.12037248091115,0,0,5.6182309607852,8.78491686806008
"hsa-miR-3135b",0,0,0,0,0,0,0,4.64017669568825,8.3276571071854,5.34585442282151,0,8.84725548584144,0,6.13402439891989,7.21521254459617,6.97310749855791,4.71420486686086,0,0,0,0,7.46012004406886,5.57505790363156,2.95783060485204,0,0,6.56238236483103,0,8.51970393877145,0,0,7.23587172800084,0,0,8.35409469077186,0,0,8.35248742547421,9.10603911779719,0,11.5702455608287,9.78315728389006,0,6.98802320615657,0,0,0,6.92731854133155,4.37769613804718,0,0,11.8287765687823,0,7.8473066467645,9.11317032118299,10.8274217929123,6.15000892033667,5.59109977263922,0,7.32868147467149,0,0,4.96122236166415,6.37980472977659,8.00158597083144,7.81441245533555,0,8.40087864681876,10.9807869605291,8.01195857987399,8.44636772595695,8.33906097346347,10.0019220666899,9.14681997999751,8.93182283197505,0,0,0,4.64730696826502,9.52057355749219
"hsa-miR-548aj-5p",0,8.58374295486816,0,7.77762985444952,0,0,0,0,0,6.9069715079841,5.12875124784983,7.85038454808672,0,5.72581813638785,0,9.2858197222911,4.71420486686086,0,0,0,0,7.46012004406886,0,0,0,5.59982210711234,0,6.73211309199218,7.93670553284327,4.98016082183333,0,7.23587172800084,0,7.52154453169676,0,5.56960698439815,0,7.35689461541824,11.4258712234416,9.0128548773227,9.98623163315666,9.78315728389006,8.63972953147342,7.98232947892897,9.82956694503039,0,0,7.65953495707136,0,5.77671089881122,8.44007419432799,0,0,6.85355777811261,11.1112151155733,0,0,0,0,7.32868147467149,0,4.5729001451913,5.93787828541689,6.37980472977659,7.41943539585162,10.978629135956,0,0,10.9807869605291,5.45467391297161,9.44429831881807,0,8.6821029387425,9.14681997999751,7.35275650376373,0,6.31644205716949,0,0,0
"hsa-miR-6803-5p",0,0,0,6.2057571519697,0,0,3.83297722744205,5.20572408432901,7.74493813827374,0,0,7.85038454808672,8.00113524984994,7.12371650896763,6.22488912375227,6.97310749855791,5.6864590870306,0,0,0,0,9.45396200492223,6.55984638982419,0,5.97023091137468,0,0,0,7.93670553284327,5.95712362771276,0,0,0,9.10126304281282,9.35188849789752,5.56960698439815,0,9.35027877149044,11.1040742171321,0,10.9855202618469,9.19901324334394,9.95948575096831,8.56538906608803,7.8343157718621,4.91893855107202,0,5.3658702196401,0,5.77671089881122,0,11.8287765687823,8.9103431157213,6.85355777811261,0,0,6.15000892033667,5.59109977263922,0,8.9076483782754,7.85311619574538,0,0,0,0,0,5.72165160244371,0,10.9807869605291,8.23355235056729,7.45049765637163,8.33906097346347,8.6821029387425,9.14681997999751,8.93182283197505,0,0,0,0,7.20648113722101
"hsa-miR-10401-3p",7.68706449759241,8.26275460274425,7.74277545714862,7.77762985444952,6.57928491676162,5.35308119302254,6.33100950819177,5.6109551605138,9.32541008102987,7.63912035645487,5.12875124784983,9.84568840604897,5.44405700600795,6.13402439891989,0,0,4.71420486686086,0,0,0,0,8.45601760659293,0,0,7.53976987079939,0,6.56238236483103,5.74562049665298,6.94258182441464,0,0,8.23107824269894,0,8.5176133275581,10.3507841350144,0,0,0,11.1040742171321,8.01564494578132,9.98623163315666,0,0,0,0,4.91893855107202,0,5.3658702196401,3.4454781623504,6.76349279096558,0,9.82996589285956,8.49630474723052,8.84417089446293,0,8.82980169340181,6.15000892033667,0,0,9.64341185720609,0,5.5422687513602,6.92606305420934,6.37980472977659,0,0,0,8.98441766855838,0,6.43813101259998,0,9.33683165271732,7.68561104709807,0,8.93182283197505,0,0,5.68171496126982,0,8.20158883006977
"hsa-miR-1255a",0,7.84928198239483,0,0,0,0,4.78145009809453,5.20572408432901,8.74157153085991,5.34585442282151,0,7.85038454808672,6.42739120760037,0,0,9.54846885296777,0,0,0,0,7.65311630327835,8.45601760659293,5.57505790363156,0,0,0,8.55088784546335,0,9.9322825533595,0,0,8.81443936915433,0,7.52154453169676,9.35188849789752,0,0,0,11.4258712234416,0,10.9855202618469,8.20146584161107,0,7.98232947892897,7.8343157718621,5.89489434284988,0,0,3.4454781623504,0,8.44007419432799,11.4138712650508,6.91931048020393,0,0,12.1488734362266,0,6.57605734445435,0,7.32868147467149,8.8499930589785,4.5729001451913,5.93787828541689,0,6.42783843788886,10.131204078933,5.72165160244371,0,0,8.01195857987399,6.45872221789762,0,0,9.14681997999751,10.5148145747498,0,0,0,6.19336976317943,7.20648113722101
"hsa-miR-10401-5p",0,7.84928198239483,0,0,0,0,3.83297722744205,6.76438652615381,7.74493813827374,7.31900042630522,0,7.85038454808672,7.00675538346,4.19437139626108,0,0,6.26205313524523,0,0,0,8.87140728705458,8.45601760659293,6.14989723679604,0,7.53976987079939,0,9.13456750579318,6.73211309199218,7.93670553284327,0,0,0,0,9.10126304281282,11.3502316363955,5.56960698439815,5.43661869596536,0,11.6888182302724,8.01564494578132,11.5702455608287,0,8.63972953147342,6.98802320615657,7.8343157718621,4.91893855107202,6.44797374065983,5.3658702196401,0,0,0,11.4138712650508,9.4943057932321,6.85355777811261,0,0,0,0,6.85165329122414,7.32868147467149,0,0,0,0,0,7.81441245533555,0,8.40087864681876,12.9802514473647,7.01753678920356,0,0,9.26589417179406,8.1493628523702,8.93182283197505,0,0,0,0,7.20648113722101
"hsa-miR-7851-3p",0,7.84928198239483,6.74949523717267,0,0,5.35308119302254,0,0,7.74493813827374,7.31900042630522,5.12875124784983,10.1673028806116,5.44405700600795,5.15442182952659,6.70479442702996,0,0,0,7.71886087756118,0,0,9.03961003168426,6.14989723679604,2.46284591325468,0,0,0,0,9.51773716640085,0,0,0,0,7.52154453169676,10.3507841350144,0,0,7.35689461541824,10.1047294814128,9.0128548773227,12.7923668466996,9.19901324334394,7.64334207376729,9.30083052017839,9.41505786575776,0,0,5.3658702196401,3.4454781623504,0,8.44007419432799,12.1506253405265,7.91333843465028,0,10.1118671452412,11.1491910880912,0,0,0,7.32868147467149,0,0,6.51497472655533,0,0,7.81441245533555,0,0,0,8.01195857987399,8.03270818418316,8.33906097346347,9.6803456804551,9.14681997999751,9.66760629445545,6.12037248091115,0,0,0,8.78491686806008
"hsa-miR-3613-5p",6.2836477980634,9.06809504022704,0,7.77762985444952,6.57928491676162,0,7.19730984917861,6.76438652615381,6.7516478758864,8.3144757581906,6.6859584305344,0,7.73922662359717,6.45183817144256,6.70479442702996,8.55039420069045,0,6.09712408931663,0,0,0,7.46012004406886,0,0,0,5.19466673871885,0,0,6.94258182441464,6.53432458505008,0,0,0,7.52154453169676,0,7.13417415684809,5.03264239152521,0,0,0,0,0,0,0,0,7.20220118344868,7.43968749808368,5.3658702196401,4.93933797994267,7.34402220571478,0,0,7.91333843465028,9.65017983343428,9.11317032118299,0,0,6.57605734445435,0,0,0,6.52670566320417,5.93787828541689,0,6.42783843788886,0,8.50538052411529,0,0,5.45467391297161,6.45872221789762,8.33906097346347,0,8.1493628523702,7.35275650376373,5.14096246685054,5.33443182136899,0,6.19336976317943,8.20158883006977
"hsa-miR-3648",0,6.27677777934508,6.74949523717267,8.51196317648847,0,7.64649176745571,0,3.69690191672037,9.32541008102987,6.32800741215776,6.10798497944344,9.43117345585584,7.41898555264193,5.72581813638785,0,8.96446934729187,6.26205313524523,8.08123099292102,0,7.25548838046687,6.08241770196221,7.46012004406886,0,4.07001238898742,7.53976987079939,3.6864150778033,0,5.74562049665298,8.9337583870184,7.11408942809117,0,7.23587172800084,0,0,9.35188849789752,5.56960698439815,4.46955106639273,9.35027877149044,11.1040742171321,8.01564494578132,11.9851644446113,9.19901324334394,9.95948575096831,6.98802320615657,0,4.91893855107202,0,5.3658702196401,4.37769613804718,0,7.85718716436199,9.82996589285956,7.91333843465028,6.85355777811261,0,8.82980169340181,6.15000892033667,0,6.27292315694448,9.3219346729215,0,0,0,0,6.42783843788886,8.81120430448488,0,7.40514067600172,13.5651544343511,5.45467391297161,7.45049765637163,9.33683165271732,8.6821029387425,9.73093385961192,8.93182283197505,6.12037248091115,5.33443182136899,0,4.64730696826502,8.20158883006977
